spec,kind,term,coef,se,pvalue,n_obs
E0,feols,density,4.39688643670968,0.1372021027789379,0.0,127464
E0,feols,density:pci_std,0.020298554345694535,0.01860280229039496,0.27637145167684496,127464
E1,feols,density,4.398760865500538,0.1370149053001149,0.0,127464
E1,feols,pf_country,-0.15708884004983514,0.1082937682816812,0.14828931808821721,127464
E1,feols,density:pci_std,0.020243190628155217,0.01862060249007395,0.27813843578472075,127464
E2,feols,density,4.247385428772979,0.20052073534804135,0.0,127464
E2,feols,pf_country,-0.4675170629114358,0.22286655469624053,0.03704386930408132,127464
E2,feols,density:pci_std,0.022589125151778827,0.018967986346556536,0.23494457323822293,127464
E2,feols,density:pf_country,1.4190424961979133,0.9878687608043356,0.15225799831431974,127464
E3,feols,density,4.232533742610848,0.2012927485694417,0.0,127464
E3,feols,pf_country,-0.5015800551823035,0.22731313202603495,0.0283558523891958,127464
E3,feols,density:pci_std,-0.013109338391741604,0.030373044204626002,0.6664374812043801,127464
E3,feols,density:pf_country,1.6078162670746259,1.0151571055170483,0.11464142234275632,127464
E3,feols,density:pci_std:pf_country,0.27418982096617583,0.17656452509049736,0.1218487139463309,127464
E4,feglm,density,51.344508714255774,2.578732196568063,0.0,127464
E4,feglm,pf_country,-2.800097135388114,2.6150712750390537,0.28428020875433613,127464
E4,feglm,density:pci_std,1.9004427694030308,0.44265626233347416,1.760608339984593e-05,127464
E4,feglm,density:pf_country,3.1980655928324127,9.184191353660992,0.7276793448889367,127464
E4,feglm,density:pci_std:pf_country,1.093365362459828,2.4069730458095444,0.6496495400707314,127464
