label,short,layer,treat_var,interaction_name,coef,se,pvalue,ci_lo,ci_hi,level_name,level_coef,level_se,level_pvalue,n_obs,converged,time_s,error,formula
EN1: Lag-1,Lag-1,1,derisked_L1,derisked_L1:pci_std,-0.2773002168544212,0.10005943337923852,0.005582351884007464,-0.4734167062777287,-0.08118372743111368,derisked_L1,-0.08886133697058408,0.05195999013906813,0.08723116610563686,1496762,True,82.3619134426117,,trade_value ~ derisked_L1 + derisked_L1:pci_std | exporter_year + importer_year + pair + hs4
EN2: Lag-2,Lag-2,1,derisked_L2,derisked_L2:pci_std,-0.27443787071443365,0.0977557959990177,0.004994596094373138,-0.4660392308725083,-0.08283651055635896,derisked_L2,-0.04546267865922138,0.049057639536733685,0.3540721111621523,1479372,True,50.8529839515686,,trade_value ~ derisked_L2 + derisked_L2:pci_std | exporter_year + importer_year + pair + hs4
EN3: Lead-1,Lead-1,2,derisked_F1,derisked_F1:pci_std,-0.35457108279227484,0.10198155371616524,0.0005074061815590891,-0.5544549280759588,-0.15468723750859098,derisked_F1,-0.13395217815204244,0.0606111131611909,0.02710330960465468,1239202,True,57.33984899520874,,trade_value ~ derisked_F1 + derisked_F1:pci_std | exporter_year + importer_year + pair + hs4
