pci_quintile,zero_share,n_obs,mean_trade
Q1,0.778331422733563,6734360,32189.8464347191
Q2,0.799027969992694,6734360,9294.19112259406
Q3,0.755882073426428,6734360,11164.1437821656
Q4,0.695511080488718,6734360,10999.5378375948
Q5,0.626190610540571,6379920,39589.8621167382
