iso3,sos_total,rank_total,quadrant
MNG,-0.106364981697983,131,Q2: Infrastructure Gap
PYF,-0.108498133439265,132,Q4: Blocked
BLR,-0.109146132442484,133,Q4: Blocked
MLI,-0.109289393253967,134,Q4: Blocked
KGZ,-0.113407522124285,135,Q2: Infrastructure Gap
TCD,-0.119083928792648,136,Q4: Blocked
HND,-0.1191268849474,137,Q4: Blocked
URY,-0.122461538613889,138,Q2: Infrastructure Gap
FJI,-0.123766339226628,139,Q4: Blocked
BEN,-0.124012098014206,140,Q4: Blocked
SLV,-0.125758634373446,141,Q2: Infrastructure Gap
SWZ,-0.12737304329379,142,Q4: Blocked
GBR,-0.133331763088446,143,Q1: Actionable
ETH,-0.133555992317571,144,Q4: Blocked
GUY,-0.136416805727645,145,Q2: Infrastructure Gap
BHS,-0.136861296655978,146,Q4: Blocked
CMR,-0.13839721204611,147,Q4: Blocked
BDI,-0.13920502548654,148,Q4: Blocked
JAM,-0.148204768167371,149,Q4: Blocked
PRT,-0.149673864470181,150,Q1: Actionable
COD,-0.15356287603,151,Q4: Blocked
SLB,-0.154888819741457,152,Q4: Blocked
SLE,-0.155976858315344,153,Q4: Blocked
AFG,-0.158736554556588,154,Q4: Blocked
ZWE,-0.160455486210939,155,Q4: Blocked
DJI,-0.161866134581893,156,Q2: Infrastructure Gap
BWA,-0.16215220971359,157,Q2: Infrastructure Gap
BHR,-0.166768616814237,158,Q2: Infrastructure Gap
PNG,-0.169342647262444,159,Q4: Blocked
COG,-0.171429826981943,160,Q4: Blocked
VUT,-0.171445468873148,161,Q2: Infrastructure Gap
SOM,-0.171700440022752,162,Q4: Blocked
CIV,-0.172461802966304,163,Q4: Blocked
ROU,-0.177980351325948,164,Q1: Actionable
DMA,-0.18493538535556,165,Q4: Blocked
EST,-0.191441205335517,166,Q2: Infrastructure Gap
BRB,-0.195728425037427,167,Q4: Blocked
NIC,-0.197657282921912,168,Q2: Infrastructure Gap
FRA,-0.202616485219144,169,Q2: Infrastructure Gap
CUB,-0.203340552241509,170,Q4: Blocked
HRV,-0.204505455713499,171,Q1: Actionable
TKM,-0.208576937970262,172,Q4: Blocked
YEM,-0.208856066285585,173,Q4: Blocked
ISL,-0.209470524590566,174,Q2: Infrastructure Gap
LBR,-0.210271435717559,175,Q2: Infrastructure Gap
AZE,-0.210353171686674,176,Q4: Blocked
SUR,-0.212486840100271,177,Q4: Blocked
SGP,-0.21577531992923,178,Q1: Actionable
ARM,-0.223677845612572,179,Q2: Infrastructure Gap
BGD,-0.235607433748436,180,Q4: Blocked
MUS,-0.237928801236379,181,Q2: Infrastructure Gap
ECU,-0.239669826785733,182,Q2: Infrastructure Gap
SRB,-0.260273434585833,183,Q4: Blocked
CPV,-0.265638961409667,184,Q4: Blocked
NAM,-0.266696357399487,185,Q4: Blocked
SYC,-0.272049817270456,186,Q2: Infrastructure Gap
MKD,-0.286910874261224,187,Q4: Blocked
BLZ,-0.288326687786475,188,Q4: Blocked
OMN,-0.293168443840623,189,Q2: Infrastructure Gap
SDN,-0.302460133891009,190,Q2: Infrastructure Gap
SAU,-0.310428462839575,191,Q2: Infrastructure Gap
TUR,-0.341158885819895,192,Q4: Blocked
PER,-0.353153326523465,193,Q2: Infrastructure Gap
CUW,-0.353492736863063,194,Q4: Blocked
MRT,-0.363204043582903,195,Q4: Blocked
COL,-0.374676647092051,196,Q4: Blocked
ZMB,-0.385225262441638,197,Q2: Infrastructure Gap
SMR,-0.393223028736941,198,Q2: Infrastructure Gap
USA,-0.405487616977006,199,Q1: Actionable
CHE,-0.413953893243831,200,Q1: Actionable
LBY,-0.42521798348384,201,Q4: Blocked
NLD,-0.42593593962232,202,Q1: Actionable
LUX,-0.429692428382498,203,Q4: Blocked
VEN,-0.441852427057724,204,Q4: Blocked
GIN,-0.457751600494552,205,Q4: Blocked
AGO,-0.461073997592576,206,Q4: Blocked
DNK,-0.471569477928395,207,Q2: Infrastructure Gap
GAB,-0.486575833758624,208,Q4: Blocked
TTO,-0.498568388258432,209,Q2: Infrastructure Gap
CZE,-0.51475527016604,210,Q2: Infrastructure Gap
BFA,-0.584374351765423,211,Q4: Blocked
BEL,-0.629403827163578,212,Q2: Infrastructure Gap
GHA,-0.690329652350881,213,Q4: Blocked
ESP,-0.86868341909127,214,Q2: Infrastructure Gap
IRQ,-0.899683693401991,215,Q4: Blocked
KAZ,-0.947777736048903,216,Q4: Blocked
POL,-1.03199183670056,217,Q2: Infrastructure Gap
KWT,-1.25573404857364,218,Q2: Infrastructure Gap
QAT,-1.33987462687392,219,Q2: Infrastructure Gap
ITA,-1.41410232799653,220,Q2: Infrastructure Gap
DEU,-1.42371535915609,221,Q2: Infrastructure Gap
RUS,-1.47682507430808,222,Q4: Blocked
NOR,-1.72059374961817,223,Q2: Infrastructure Gap
ARE,-1.74064603185849,224,Q1: Actionable
DZA,-1.83260701694928,225,Q4: Blocked
NGA,-3.69028891227721,226,Q3: Legal Complexity
