iso3,hs4,sos_combined,sos_int_norm,sos_ext_norm,pci_std,trade_derisked
DEU,37,0.501048433083252,0.00209686616650328,1,2.45871536726098,11277.736
VNM,85,0.5,1,0,1.47780702240666,8948324.84
ESP,84,0.453078528332684,0.113759601752958,0.792397454912409,2.05149967909302,733290.531
ESP,37,0.438529057922687,0.000371828552576769,0.876686287292797,2.45871536726098,1999.834
CHN,84,0.408943234760159,0.817886469520319,0,2.05149967909302,5272068.417
ESP,82,0.346664014180828,0.00178277078819856,0.691545257573457,1.84427734170305,12782.881
IDN,87,0.34542363162606,0.399793466565549,0.29105379668657,1.4173999600581,3729947.712
POL,37,0.340738372702479,5.39646104411598e-05,0.681422780794518,2.45871536726098,290.242
CHN,85,0.331377971633851,0.662755943267701,0,1.47780702240666,5930555.47
ESP,59,0.327830908062333,0.000589942632153876,0.655071873492512,1.73801145799196,4488.659
LUX,37,0.319583647945838,2.54314655223636e-05,0.639141864426154,2.45871536726098,136.78
ESP,90,0.31446084892943,0.0139611258509775,0.614960572007883,1.54749223752902,119303.018
IND,84,0.310449445289832,0.175501308703204,0.44539758187646,2.05149967909302,1131275.478
NLD,82,0.308989588386821,0.00132774216651346,0.616651434607129,1.84427734170305,9520.22
BEL,84,0.30878681155829,0.0676752209791538,0.549898402137427,2.05149967909302,436232.177
TUR,84,0.299765488618045,0.214532915442435,0.384998061793655,2.05149967909302,1382871.89
ITA,82,0.289876528399699,0.00303472991672293,0.576718326882675,1.84427734170305,21759.719
ITA,37,0.28925301420457,0.000125479497922727,0.578380548911218,2.45871536726098,674.876
GBR,37,0.288174770611922,0.0002721960730748,0.57607734515077,2.45871536726098,1463.973
ESP,85,0.281145524517104,0.0577809427177657,0.504510106316443,1.47780702240666,517042.645
USA,87,0.278387294444341,0.226040378165769,0.330734210722914,1.4173999600581,2108885.867
NLD,87,0.275992406808074,0.0196319999384753,0.532352813677672,1.4173999600581,183160.405
NLD,83,0.267473537979081,0.00126538084638678,0.533681695111775,1.66871397502732,10027.642
NLD,59,0.263263355537672,0.000839871514760282,0.525686839560583,1.73801145799196,6390.277
ITA,87,0.262004789918687,0.0469935100720563,0.477016069765318,1.4173999600581,438434.717
POL,85,0.261665131367957,0.0813561289981064,0.441974133737807,1.47780702240666,728001.07
DEU,85,0.261573046737183,0.0817157954225542,0.441430298051811,1.47780702240666,731219.482
ESP,95,0.257329879236894,0.00196698922712624,0.512692769246661,1.49263731179024,17426.379
SRB,84,0.256987692935665,0.00514568378609338,0.508829702085237,2.05149967909302,33168.903
POL,90,0.256107581027289,0.0125885071281903,0.499626654926388,1.54749223752902,107573.48
ESP,94,0.252936358804245,0.00608200285303133,0.499790714755458,1.17710241010167,68326.919
ITA,85,0.251556685594855,0.0635814990149598,0.43953187217475,1.47780702240666,568947.907
FRA,37,0.245137182432254,3.03959746677988e-05,0.49024396888984,2.45871536726098,163.481
CHN,87,0.242772681061525,0.294488557028129,0.191056805094921,1.4173999600581,2747485.918
FRA,84,0.242315885653447,0.134861033082353,0.34977073822454,2.05149967909302,869309.641
ITA,90,0.239728511992483,0.0213428368930388,0.458114187091928,1.54749223752902,182382.487
HUN,84,0.238747177701719,0.477494355403439,0,2.05149967909302,3077912.405
IND,37,0.23584564273261,0.000164229108461664,0.471527056356758,2.45871536726098,883.286
BEL,82,0.234208860148655,0.00133960733271322,0.467078112964596,1.84427734170305,9605.296
IDN,84,0.233342984859089,0.0854627913872611,0.381223178330916,2.05149967909302,550890.252
DEU,95,0.233162096322968,0.00200599032349177,0.464318202322445,1.49263731179024,17771.906
IND,82,0.232740955341575,0.00383122389657216,0.461650686786578,1.84427734170305,27470.766
BEL,90,0.232173187356555,0.0111409171837671,0.453205457529343,1.54749223752902,95203.285
ITA,95,0.231488730607764,0.00256205057667677,0.460415410638852,1.49263731179024,22698.276
IDN,37,0.228744751351857,1.28027478647383e-05,0.457476699955849,2.45871536726098,68.858
IND,87,0.227873647239042,0.111612960717255,0.344134333760829,1.4173999600581,1041313.934
SRB,82,0.227413077574827,8.48545709180337e-05,0.454741300578737,1.84427734170305,608.427
POL,95,0.226922744136238,0.000314153381420511,0.453531334891055,1.49263731179024,2783.216
CAN,37,0.226516627856349,9.89331978684723e-07,0.453032266380719,2.45871536726098,5.321
SRB,59,0.224540992483834,0.000125902717178235,0.448956082250489,1.73801145799196,957.948
