,SOS_FDI,SOS_FATF,SOS_composite
SOS_FDI,1.0,0.24901282909312697,0.48670530850162175
SOS_FATF,0.24901282909312697,1.0,0.42892470589165627
SOS_composite,0.48670530850162175,0.42892470589165627,1.0
