coef,se,pvalue,n_obs,converged,term,year,label,expected,verdict
-0.2805600120220568,0.04769308596380834,4.038371637093974e-09,2072324,True,derisked:pci_std,2018,T0: Baseline,Significant,
0.47518769821238777,0.13304883674163576,0.0003549040625456801,2072324,True,derisked:perishable,2018,T2: Derisked x Perishable,Null,CONCERN
-0.01826162627453193,0.012693215981050198,0.15023785188084515,2072324,True,ln_dist:pci_std,2018,T3: Distance x PCI,Weaker,
-0.043114585011760576,0.0404932743796796,0.28699610698036415,2072324,True,comlang_off:pci_std,2018,T4: Language x PCI,Null,PASS
-0.13130141572001466,0.1020153828863079,0.1980682616600511,595242,True,derisked:pci_std,2018,T5: Commodities only,Null or weaker,PASS
-0.22236956963749882,0.03654642906652699,1.1679910372208724e-09,2079092,True,derisked:pci_std,2019,T0: Baseline,Significant,
0.5630847320326161,0.1360588452411815,3.4952564287538124e-05,2079092,True,derisked:perishable,2019,T2: Derisked x Perishable,Null,CONCERN
-0.020744620842640737,0.012464622179624478,0.09605649623800216,2079092,True,ln_dist:pci_std,2019,T3: Distance x PCI,Weaker,
-0.04733625848107085,0.04072865876446092,0.24514016328216304,2079092,True,comlang_off:pci_std,2019,T4: Language x PCI,Null,PASS
0.016677372868744218,0.0798087912044698,0.8344743013654123,596376,True,derisked:pci_std,2019,T5: Commodities only,Null or weaker,PASS
-0.3463075201636778,0.0481859338855249,6.628031457012185e-13,2053524,True,derisked:pci_std,2020,T0: Baseline,Significant,
0.29811041801882754,0.1434876067473481,0.03774585242259909,2053524,True,derisked:perishable,2020,T2: Derisked x Perishable,Null,CONCERN
-0.021851488298104453,0.012398909164829563,0.07800649406042837,2053524,True,ln_dist:pci_std,2020,T3: Distance x PCI,Weaker,
-0.04767904277693719,0.04045879288232001,0.23861352877279796,2053524,True,comlang_off:pci_std,2020,T4: Language x PCI,Null,PASS
-0.21422385531188315,0.10999351603129952,0.05146231740516649,589842,True,derisked:pci_std,2020,T5: Commodities only,Null or weaker,PASS
-0.2598716069447075,0.032836199373478224,2.4424906541753444e-15,2038484,True,derisked:pci_std,2021,T0: Baseline,Significant,
0.38771015760958044,0.128124653337286,0.0024778059840318,2038484,True,derisked:perishable,2021,T2: Derisked x Perishable,Null,CONCERN
-0.013371580653472973,0.013501222663011613,0.3219797409468548,2038484,True,ln_dist:pci_std,2021,T3: Distance x PCI,Weaker,
-0.047161133674205546,0.04423577791857911,0.28636443274002277,2038484,True,comlang_off:pci_std,2021,T4: Language x PCI,Null,PASS
-0.0578435718129977,0.07542938144222058,0.44316636353991257,585522,True,derisked:pci_std,2021,T5: Commodities only,Null or weaker,PASS
-0.320841805016901,0.042835354052027985,6.88338275267597e-14,2070914,True,derisked:pci_std,2022,T0: Baseline,Significant,
0.1590313593542389,0.1174429281572909,0.1756993418183901,2070914,True,derisked:perishable,2022,T2: Derisked x Perishable,Null,PASS
0.0007687509695443371,0.013118680763783336,0.9532709367438013,2070914,True,ln_dist:pci_std,2022,T3: Distance x PCI,Weaker,
-0.060007242656984795,0.04150948379806912,0.1482817674826742,2070914,True,comlang_off:pci_std,2022,T4: Language x PCI,Null,PASS
-0.18567829322850177,0.09042929234203115,0.040043676022518016,594837,True,derisked:pci_std,2022,T5: Commodities only,Null or weaker,PASS
-0.38342256915260803,0.041609267895090486,0.0,2015924,True,derisked:pci_std,2023,T0: Baseline,Significant,
0.16864813906473394,0.11994400952065135,0.15970713803593517,2015924,True,derisked:perishable,2023,T2: Derisked x Perishable,Null,PASS
-0.013385950377973355,0.012733972622961802,0.29316680243886006,2015924,True,ln_dist:pci_std,2023,T3: Distance x PCI,Weaker,
-0.066263278408918,0.039642604620685334,0.09461964920267607,2015924,True,comlang_off:pci_std,2023,T4: Language x PCI,Null,CONCERN
-0.3071482357109884,0.07933130729087147,0.00010807214129648912,579042,True,derisked:pci_std,2023,T5: Commodities only,Null or weaker,PASS
