spec,formula,converged,n_obs,headline_coef,headline_se,headline_pvalue,placebo_term,placebo_coef,placebo_se,placebo_pvalue,time_s,error
F0: Baseline,trade_value ~ derisked + derisked:pci_std | exporter_year + importer_year + pair + hs4,True,1684198,-0.19756322385969016,0.06065367349551916,0.0011250354038756516,,,,,143.8752932548523,
F1: + ln_dist x PCI,trade_value ~ derisked + derisked:pci_std + ln_dist:pci_std | exporter_year + importer_year + pair + hs4,True,1684198,-0.19997026781138735,0.05652700002691154,0.000403771716655843,ln_dist:pci_std,0.0060605568710589966,0.043772629283653046,0.8898805161612344,116.94922208786011,
F2: + comlang_off x PCI,trade_value ~ derisked + derisked:pci_std + comlang_off:pci_std | exporter_year + importer_year + pair + hs4,True,1649700,-0.2049141107425528,0.05965107257437358,0.000592089322220879,comlang_off:pci_std,-0.08002639502630664,0.15898127045452567,0.6147041910133817,95.59412622451782,
F3: + contig x PCI,trade_value ~ derisked + derisked:pci_std + contig:pci_std | exporter_year + importer_year + pair + hs4,True,1684198,-0.19909781330394147,0.060623894978730025,0.0010229137024080348,contig:pci_std,-0.1486232501854259,0.05865223821501347,0.011277707989992392,86.43501663208008,
F4: + colony x PCI,trade_value ~ derisked + derisked:pci_std + colony:pci_std | exporter_year + importer_year + pair + hs4,True,1649700,-0.20132715133460083,0.06097082857414758,0.0009598978873810449,colony:pci_std,-0.21280027521248396,0.07824560258406384,0.00653520015826814,121.73200559616089,
F5: + rta_coverage x PCI,trade_value ~ derisked + derisked:pci_std + rta_coverage:pci_std | exporter_year + importer_year + pair + hs4,True,1684198,-0.18625753483694382,0.06328329183868608,0.0032480283377562813,rta_coverage:pci_std,0.05753405608176187,0.0483228457413785,0.23380353219017325,113.08950591087341,
